trial_id,job_id,lr,epochs,dropout,weight_decay,batch_size,gradient_clip,lr_scheduler,lr_scheduler_factor,lr_scheduler_patience,early_stopping_patience,cls_pos_weight,conv1_filters,conv1_kernel,conv1_padding,conv2_filters,conv2_kernel,conv2_padding,conv3_filters,conv3_kernel,conv3_padding,conv4_filters,conv4_kernel,conv4_padding,pool_size,fc1_size,fc2_size,score,recall,precision,status,retries,created_at,updated_at
trial_1,7229282.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0013725157437978,100,0.4400849636977729,0.0001137169076682,256,4.433224257049302,True,0.341129000603851,27,20,8.231093840829871,,,,,,,,,,,,,,,,0.9428496007391276,0.9803746654772524,0.868088467614534,0,0,2026-06-29T22:30:41.694419+00:00,2026-07-06T01:41:20.941619+00:00
trial_2,7229324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,4.2849341490151135e-05,200,0.1847453335928086,5.225275105858377e-08,128,8.614433039961822,False,0.7027477858602361,24,12,1.80193309188144,,,,,,,,,,,,,,,,0.9270470812266072,0.9687778768956288,0.845136186770428,0,0,2026-06-29T23:07:48.869099+00:00,2026-07-06T01:41:20.941619+00:00
trial_3,7229346.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0001196223900861,200,0.0667641802927489,5.07864737405913e-08,16,1.70436981090601,False,0.050740248692524,20,8,3.0663610950729323,,,,,,,,,,,,,,,,0.9380472710514188,0.9776984834968778,0.8596078431372549,0,0,2026-06-29T23:32:44.370526+00:00,2026-07-06T01:41:20.941619+00:00
trial_4,7229372.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0110485896587242,150,0.333092801346215,7.497035924737639e-08,16,9.7099996480595,False,0.2480552253350602,5,9,2.877993986690066,,,,,,,,,,,,,,,,0.934514189669662,0.991971454058876,0.8267657992565056,0,0,2026-06-29T23:51:12.271251+00:00,2026-07-06T01:41:20.941619+00:00
trial_5,7229387.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0043625920145726,25,0.628301161039224,2.3140410098586928e-08,32,7.894549312180348,True,0.1670240370351571,20,18,1.4774961781183056,,,,,,,,,,,,,,,,0.9424635866341528,0.9812667261373772,0.8654602675059009,0,0,2026-06-30T00:02:37.525575+00:00,2026-07-06T01:41:20.941619+00:00
trial_6,7229393.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8.717466902977912e-05,50,0.6520535383443543,0.0023718848435224,256,4.9913590609388,True,0.741927072791022,18,13,2.240323045742632,,,,,,,,,,,,,,,,0.9318935796526376,0.9830508474576272,0.834216502649508,0,0,2026-06-30T00:09:42.434373+00:00,2026-07-06T01:41:20.941619+00:00
trial_7,7229405.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0044813934271634,150,0.6248332785051636,5.481938078624352e-06,16,7.537228960813791,False,0.8861520000711116,20,12,6.0579734335675575,,,,,,,,,,,,,,,,0.9255257572834266,0.9875111507582516,0.810989010989011,0,0,2026-06-30T00:24:31.464616+00:00,2026-07-06T01:41:20.941619+00:00
trial_8,7229418.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2.5776291835282443e-05,25,0.3728063861031004,0.0131556419050567,256,4.546826994000009,False,0.2473791843259554,34,26,7.183280202397465,,,,,,,,,,,,,,,,0.9135669475952094,0.9892952720785012,0.7793394237526353,0,0,2026-06-30T00:37:09.130133+00:00,2026-07-06T01:41:20.941619+00:00
trial_9,7229428.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2.915712421727204e-05,50,0.3308695414890923,0.0024530291604112,256,8.706516288362625,True,0.1440364577164702,3,29,8.669010418296734,,,,,,,,,,,,,,,,0.9309119110708975,0.9884032114183764,0.8231797919762258,0,0,2026-06-30T00:46:50.353974+00:00,2026-07-06T01:41:20.941619+00:00
trial_10,7229438.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0102383034301955,200,0.4014707402713512,2.224180856386689e-08,32,7.103822287511429,True,0.546846049459193,2,15,5.414776096237963,,,,,,,,,,,,,,,,0.9433222200431456,0.9901873327386262,0.8525345622119815,0,0,2026-06-30T00:58:23.554975+00:00,2026-07-06T01:41:20.941619+00:00
trial_11,7229454.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8.493392565190354e-06,100,0.2945644994552789,7.392403695545227e-05,64,1.5567923384336024,False,0.8179426219136917,32,9,5.505850091161902,,,,,,,,,,,,,,,,0.9366830870279146,0.9785905441570026,0.8543613707165109,0,0,2026-06-30T01:17:16.656840+00:00,2026-07-06T01:41:20.941619+00:00
trial_12,7229473.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0017979874376589,150,0.4173397156851995,0.0024701156034522,128,5.193302528157605,True,0.250310445743811,13,6,7.606193548858399,,,,,,,,,,,,,,,,0.9350210970464136,0.9884032114183764,0.8337095560571859,0,0,2026-06-30T01:33:02.917792+00:00,2026-07-06T01:41:20.941619+00:00
trial_13,7229484.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0003470706860188,50,0.129479263994913,9.568521928819435e-07,256,1.2202990710243675,False,0.8113637219193942,26,19,9.66226076821389,,,,,,,,,,,,,,,,0.9338664219702432,0.9776984834968778,0.848297213622291,0,0,2026-06-30T01:41:17.736904+00:00,2026-07-06T01:41:20.941619+00:00
trial_14,7229502.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0143200615011683,150,0.307482334555605,3.4000177970992646e-08,128,5.318233409417298,True,0.700162481044039,13,29,7.353203422082315,,,,,,,,,,,,,,,,0.9466060965172164,0.9866190900981266,0.8674509803921568,0,0,2026-06-30T01:53:11.141385+00:00,2026-07-06T01:41:20.941619+00:00
trial_15,7229521.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,1.254523549009038e-05,300,0.1816412347303801,1.4524093511713026e-08,32,3.3053535258619062,True,0.3126945368498731,31,26,3.669400040031423,,,,,,,,,,,,,,,,0.9085881804250784,0.935771632471008,0.8528455284552846,0,0,2026-06-30T02:17:52.447015+00:00,2026-07-06T01:41:20.941619+00:00
trial_16,7229546.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,5.559656937898565e-06,300,0.0217047720967044,0.000141418801717,16,8.169908848882557,True,0.3535050386306274,19,1,3.091002872441587,,,,,,,,,,,,,,,,0.8431150531546833,0.91971454058876,0.7100550964187328,0,0,2026-06-30T02:39:33.788304+00:00,2026-07-06T01:41:20.941619+00:00
trial_17,7229552.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0243751522622199,100,0.4104548989260668,0.0099956627835276,64,2.281980639452086,False,0.5503744929090325,1,30,6.969028479128596,,,,,,,,,,,,,,,,0.8500686116580156,0.9776984834968778,0.657074340527578,0,0,2026-06-30T02:45:19.880627+00:00,2026-07-06T01:41:20.941619+00:00
trial_18,7229562.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0119628975180305,150,0.5405067533652252,9.82314337258424e-07,32,2.98036860797098,True,0.8476082405442285,2,30,5.127682889264036,,,,,,,,,,,,,,,,0.9484576593097124,0.9937555753791256,0.8602316602316602,0,0,2026-06-30T02:56:07.832653+00:00,2026-07-06T01:41:20.941619+00:00
trial_19,7229602.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0201657057444393,200,0.1603816297379793,1.6278568355203872e-05,128,4.988830555572299,True,0.8381338972603658,5,29,8.69509834621699,,,,,,,,,,,,,,,,0.9304721030042918,0.9669937555753793,0.8575949367088608,0,0,2026-06-30T03:29:32.795779+00:00,2026-07-06T01:41:20.941619+00:00
trial_20,7229626.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0213680450542888,200,0.6403706044338594,0.0008368295215795,128,0.1216145400630419,False,0.5165837670302087,2,8,2.423472622291138,,,,,,,,,,,,,,,,0.842816,0.903657448706512,0.7319364161849711,0,0,2026-06-30T03:41:43.827861+00:00,2026-07-06T01:41:20.941619+00:00
trial_21,7229639.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,9.473296205329182e-05,50,0.3238393030700586,8.013340532581523e-05,32,1.8429060434778235,False,0.2276417047403973,30,1,2.379780735501826,,,,,,,,,,,,,,,,0.8443274923748579,0.9687778768956288,0.6550060313630881,0,0,2026-06-30T03:48:11.153186+00:00,2026-07-06T01:41:20.941619+00:00
trial_22,7229641.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0026602620814363,150,0.5630049898572268,2.1097567604388022e-05,32,6.593320191353952,False,0.1471494394419351,7,26,5.984122001690412,,,,,,,,,,,,,,,,0.9405510534846028,0.9955396966993756,0.8365817091454273,0,0,2026-06-30T03:49:25.428643+00:00,2026-07-06T01:41:20.941619+00:00
trial_23,7229667.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.0011394149958782,150,0.6800339491891917,4.0892005576469896e-08,32,1.3166896827996322,True,0.6165400543909112,10,28,3.2632759137103893,,,,,,,,,,,,,,,,0.9461077844311376,0.9866190900981266,0.8660924040720438,0,0,2026-06-30T04:08:30.856708+00:00,2026-07-06T01:41:20.941619+00:00
trial_24,7229702.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,0.002693505040272,150,0.6696620618969493,1.077926306684784e-08,64,2.883525685511951,True,0.4563257710390774,8,29,1.480508318388711,,,,,,,,,,,,,,,,0.948390933721007,0.9848349687778768,0.8754956383822363,0,0,2026-06-30T04:43:29.593307+00:00,2026-07-06T01:41:20.941619+00:00
